champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
1,Reinhardt ( 12 - 1 ),2,9,2,26 . 0 %,2,3,2,7,girls,
2,SCAD ( 10 - 5 ),1,21,6,25 . 0 %,1,1,7,9,girls,
3,Cumberlands ( 16 - 2 ),3,7,1,13 . 50 %,3,4,1,8,girls,
4,Lawrence Tech ( 12 - 1 ),4,11,3,9 . 50 %,4,19,3,26,girls,
5,Life ( 11 - 4 ),5,5,8,8 . 50 %,10,17,8,35,girls,
6,Missouri Baptist ( 13 - 2 ),6,15,4,3 . 50 %,7,23,4,34,girls,
7,Benedictine (KS) ( 11 - 3 ),8,17,9,3 . 0 %,6,5,6,17,girls,
8,Keiser ( 9 - 6 ),7,1,7,3 . 0 %,5,2,9,16,girls,
9,Ave Maria ( 7 - 5 ),9,6,12,2 . 50 %,9,7,12,28,girls,
10,Indiana Tech ( 12 - 3 ),10,13,5,2 . 0 %,8,11,5,24,girls,
11,Montreat ( 6 - 7 ),17,30,14,0 . 0 %,21,27,18,66,girls,
12,Bethel (IN) ( 8 - 7 ),13,31,22,0 . 0 %,20,31,24,75,girls,
13,Georgetown KY ( 5 - 11 ),16,2,30,0 . 0 %,19,6,32,57,girls,
14,Marian (IN) ( 8 - 5 ),11,4,10,0 . 0 %,11,9,10,30,girls,
15,Siena Heights ( 7 - 7 ),15,14,25,0 . 0 %,18,20,26,64,girls,
16,St Thomas (FL) ( 6 - 7 ),18,3,21,0 . 0 %,17,12,22,51,girls,
17,Aquinas ( 2 - 12 ),29,19,29,0 . 0 %,27,33,31,91,girls,
18,Clarke ( 0 - 1 ),40,37,23,0 . 0 %,37,35,23,95,girls,
19,Concordia-Ann Arbor ( 8 - 6 ),14,16,20,0 . 0 %,15,13,20,48,girls,
20,Corban ( 3 - 2 ),21,36,13,0 . 0 %,35,36,13,84,girls,
21,Culver-Stockton ( 6 - 6 ),27,26,26,0 . 0 %,16,26,25,67,girls,
22,Eastern Oregon ( 0 - 10 ),35,35,32,0 . 0 %,36,37,33,106,girls,
23,Madonna ( 1 - 13 ),34,27,34,0 . 0 %,31,30,37,98,girls,
24,Midland ( 2 - 9 ),31,18,38,0 . 0 %,25,22,35,82,girls,
25,Missouri Valley ( 2 - 7 ),37,32,31,0 . 0 %,28,25,29,82,girls,
26,Mount Mercy ( 0 - 8 ),41,33,39,0 . 0 %,34,16,34,84,girls,
27,Multnomah ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,girls,
28,New College ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,girls,
29,Ottawa ( 6 - 7 ),20,10,24,0 . 0 %,12,8,21,41,girls,
30,Penn State-Schuylkill ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,girls,
31,Rochester (MI) ( 0 - 10 ),38,20,36,0 . 0 %,33,15,38,86,girls,
32,St Ambrose ( 9 - 2 ),19,34,11,0 . 0 %,14,34,11,59,girls,
33,St Andrews ( 1 - 10 ),36,25,35,0 . 0 %,30,29,36,95,girls,
34,St Mary (KS) ( 1 - 10 ),39,24,41,0 . 0 %,32,18,39,89,girls,
35,Taylor ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,girls,
36,Tennessee Wesleyan ( 3 - 11 ),30,12,37,0 . 0 %,26,21,40,87,girls,
37,Truett McConnell ( 2 - 11 ),32,22,40,0 . 0 %,29,24,41,94,girls,
38,UHSP ( 7 - 6 ),28,28,28,0 . 0 %,23,32,27,82,girls,
39,Warner ( 8 - 9 ),22,29,27,0 . 0 %,24,28,28,80,girls,
40,Webber International ( 9 - 7 ),12,8,19,0 . 0 %,13,10,19,42,girls,
41,William Penn ( 2 - 7 ),33,23,33,0 . 0 %,22,14,30,66,girls,
